course,category,institution,type,skills,personality,inclination
English Language,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Mother Tongue Language,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Higher Mother Tongue Language,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Mathematics,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Additional Mathematics,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Thinking, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Physics,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Mathematical Analysis, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
Chemistry,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Biology,STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Biology, Laboratory Skills, Research, Scientific Method",Conscientiousness,Investigative
"Science (Physics, Chemistry)",STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Skills, Analytical Thinking, Chemistry, Laboratory Skills, Mathematical Analysis, Observation, Physics, Problem Solving, Research, Scientific Method",Conscientiousness,Investigative
"Science (Physics, Biology)",STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Thinking, Biology, Laboratory Skills, Mathematical Analysis, Observation, Physics, Problem Solving, Research, Scientific Method",Conscientiousness,Investigative
"Science (Chemistry, Biology)",STEM - Science & Mathematics,Secondary School,Secondary School Subject,"Analytical Skills, Analytical Thinking, Biology, Chemistry, Laboratory Skills, Observation, Research, Scientific Method",Conscientiousness,Investigative
Social Studies,Humanities & Social Sciences,Secondary School,Secondary School Subject,"Adaptability, Critical Thinking, Learning",Extraversion,Social
History,Humanities & Social Sciences,Secondary School,Secondary School Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Geography,Humanities & Social Sciences,Secondary School,Secondary School Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Literature in English,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Literature in Chinese,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Literature in Malay,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Literature in Tamil,Languages & Literature,Secondary School,Secondary School Subject,"Communication, Critical Thinking, Cultural Awareness, Language Proficiency, Literary Analysis, Writing",Openness,Artistic
Principles of Accounts,Humanities & Social Sciences,Secondary School,Secondary School Subject,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Art,"Arts, Design & Visual Arts",Secondary School,Secondary School Subject,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Music,Performing Arts & Music,Secondary School,Secondary School Subject,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Higher Music,Performing Arts & Music,Secondary School,Secondary School Subject,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Higher Art,"Arts, Design & Visual Arts",Secondary School,Secondary School Subject,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Design & Technology,"Arts, Design & Visual Arts",Secondary School,Secondary School Subject,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
